Year,Program,Gender,Race,Degrees_Awarded
2019,Business,Male,White,63
2019,Business,Male,Black or African American,12
2019,Business,Male,Hispanic,68
2019,Business,Male,Asian,80
2019,Business,Male,Two or more races,65
2019,Business,Female,White,6
2019,Business,Female,Black or African American,47
2019,Business,Female,Hispanic,80
2019,Business,Female,Asian,38
2019,Business,Female,Two or more races,45
2019,Engineering,Male,White,23
2019,Engineering,Male,Black or African American,97
2019,Engineering,Male,Hispanic,49
2019,Engineering,Male,Asian,16
2019,Engineering,Male,Two or more races,75
2019,Engineering,Female,White,37
2019,Engineering,Female,Black or African American,52
2019,Engineering,Female,Hispanic,46
2019,Engineering,Female,Asian,34
2019,Engineering,Female,Two or more races,56
2019,Health Sciences,Male,White,114
2019,Health Sciences,Male,Black or African American,22
2019,Health Sciences,Male,Hispanic,87
2019,Health Sciences,Male,Asian,111
2019,Health Sciences,Male,Two or more races,18
2019,Health Sciences,Female,White,88
2019,Health Sciences,Female,Black or African American,9
2019,Health Sciences,Female,Hispanic,86
2019,Health Sciences,Female,Asian,94
2019,Health Sciences,Female,Two or more races,53
2019,Computer Science,Male,White,56
2019,Computer Science,Male,Black or African American,38
2019,Computer Science,Male,Hispanic,41
2019,Computer Science,Male,Asian,37
2019,Computer Science,Male,Two or more races,102
2019,Computer Science,Female,White,18
2019,Computer Science,Female,Black or African American,39
2019,Computer Science,Female,Hispanic,18
2019,Computer Science,Female,Asian,71
2019,Computer Science,Female,Two or more races,31
2019,Education,Male,White,14
2019,Education,Male,Black or African American,80
2019,Education,Male,Hispanic,60
2019,Education,Male,Asian,87
2019,Education,Male,Two or more races,24
2019,Education,Female,White,109
2019,Education,Female,Black or African American,54
2019,Education,Female,Hispanic,109
2019,Education,Female,Asian,33
2019,Education,Female,Two or more races,120
2020,Business,Male,White,37
2020,Business,Male,Black or African American,63
2020,Business,Male,Hispanic,38
2020,Business,Male,Asian,104
2020,Business,Male,Two or more races,55
2020,Business,Female,White,77
2020,Business,Female,Black or African American,120
2020,Business,Female,Hispanic,96
2020,Business,Female,Asian,73
2020,Business,Female,Two or more races,105
2020,Engineering,Male,White,24
2020,Engineering,Male,Black or African American,96
2020,Engineering,Male,Hispanic,106
2020,Engineering,Male,Asian,90
2020,Engineering,Male,Two or more races,97
2020,Engineering,Female,White,86
